district_name_norm,state_ut_norm,specialty_canonical,demand_score,pop_weighted_demand,driving_needs,n_facilities,n_public,supply_capacity,coverage,unmet_demand,k_specialty,served_share,is_thin_specialty,score_basis,priority_tier,specialty_absent,unmet_intensity
Araria,Bihar,pediatrics,42.0,20.0,anaemia|child_illness_care|child_malnutrition|child_immunization|infant_young_child_feeding,0,0,null,0.0,20.0,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Kanpur Dehat,Uttar Pradesh,pediatrics,39.0,19.737000000000002,anaemia|infant_young_child_feeding|child_immunization|child_illness_care|child_malnutrition,0,0,null,0.0,19.737000000000002,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Kannauj,Uttar Pradesh,pediatrics,42.0,19.708,anaemia|child_immunization|child_illness_care|child_malnutrition|infant_young_child_feeding,0,0,null,0.0,19.708,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Chitrakoot,Uttar Pradesh,pediatrics,39.0,19.462,child_immunization|infant_young_child_feeding|anaemia|child_illness_care|child_malnutrition,0,0,null,0.0,19.462,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Budaun,Uttar Pradesh,pediatrics,41.0,19.204,child_illness_care|anaemia|child_immunization|child_malnutrition|infant_young_child_feeding,0,0,null,0.0,19.204,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Bastar,Chhattisgarh,pediatrics,40.0,19.148,anaemia|child_illness_care|infant_young_child_feeding|child_immunization|child_malnutrition,0,0,null,0.0,19.148,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Bahraich,Uttar Pradesh,pediatrics,40.0,19.047,infant_young_child_feeding|child_malnutrition|anaemia|child_illness_care|child_immunization,0,0,null,0.0,19.047,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Shrawasti,Uttar Pradesh,pediatrics,41.0,19.028,infant_young_child_feeding|anaemia|child_illness_care|child_malnutrition|child_immunization,0,0,null,0.0,19.028,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Purnia,Bihar,pediatrics,39.0,18.747999999999998,anaemia|infant_young_child_feeding|child_immunization|child_malnutrition|child_illness_care,0,0,null,0.0,18.747999999999998,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Purba Champaran,Bihar,pediatrics,40.0,18.656000000000002,anaemia|infant_young_child_feeding|child_malnutrition|child_immunization|child_illness_care,0,0,null,0.0,18.656000000000002,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Panna,Madhya Pradesh,preventive_medicine,37.0,18.61,birth_registration|child_immunization|cancer_screening|clean_cooking_air|micronutrient_fortification|tobacco_use|wash_sanitation,0,0,null,0.0,18.61,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Deoghar,Jharkhand,preventive_medicine,37.0,18.54,tobacco_use|child_immunization|micronutrient_fortification|cancer_screening|birth_registration|wash_sanitation|clean_cooking_air,0,0,null,0.0,18.54,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Ukhrul,Manipur,preventive_medicine,36.0,18.382,cancer_screening|child_immunization|wash_sanitation|micronutrient_fortification|clean_cooking_air|birth_registration|tobacco_use,0,0,null,0.0,18.382,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Balrampur,Uttar Pradesh,pediatrics,39.0,18.298000000000002,anaemia|child_malnutrition|infant_young_child_feeding|child_illness_care|child_immunization,0,0,null,0.0,18.298000000000002,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Chitrakoot,Uttar Pradesh,preventive_medicine,36.0,18.192,birth_registration|child_immunization|cancer_screening|tobacco_use|micronutrient_fortification|clean_cooking_air|wash_sanitation,0,0,null,0.0,18.192,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
