facility_id,facility_name,facility_type,address_city,address_state,ownership_sector_final,is_public_health_facility,bed_count,doctor_count,facility_complexity_tier,specialist_domain_count,has_specialist_evidence,nfhs_district_name_norm,nfhs_state_ut_norm,persona_label,top_need_categories
592514c3-e2c0-4d39-8dc0-cf18aebd1848,Bhatia Hospital,hospital,Jalandhar,Punjab,private,false,10,1,tertiary,2,true,Jalandhar,Punjab,ncd_rising,cancer_screening|ncd_hypertension|ncd_hypertension|infant_young_child_feeding|ncd_diabetes
71fe0119-a6c0-4497-aacb-749c11e42864,Daya Royal Hospital & Trauma Centre,hospital,Kunnamkulam,Thrissur,private,false,130,null,tertiary,0,false,Thrissur,Kerala,ncd_rising,cancer_screening|ncd_diabetes|ncd_diabetes|family_planning_unmet|infant_young_child_feeding
8e06442c-6ad7-4d5f-b783-2de155f0c7d5,Dreshti The Laser Eye Clinic,clinic,Lucknow,Uttar Pradesh,private,false,null,2,secondary,0,false,Lucknow,Uttar Pradesh,child_health_nutrition_hotspot,child_immunization|family_planning_unmet|cancer_screening|infant_young_child_feeding|anaemia
1f07bfba-be93-4047-b515-269ce1f969b9,Sanjeevani Hospital,hospital,Patna,Bihar,private,false,null,14,tertiary,1,true,Patna,Bihar,child_health_nutrition_hotspot,child_immunization|family_planning_unmet|child_malnutrition|infant_young_child_feeding|antenatal_care
ac324809-c674-4a5b-8d90-9bc976684df5,Pratham Hospital,hospital,Dahegam,Gujarat,private,false,null,2,secondary,1,true,Gandhinagar,Gujarat,ncd_rising+child_health_nutrition_hotspot,family_planning_unmet|child_malnutrition|cancer_screening|child_immunization|infant_young_child_feeding
3d9d4079-9a80-4546-b244-03b1e7ca9f95,"Raj Eye Hospital, Gorakhpur",hospital,Gorakhpur,Uttar Pradesh,private,false,100,9,tertiary,0,false,Gautam Buddha Nagar,Uttar Pradesh,child_health_nutrition_hotspot+ncd_rising,child_immunization|cancer_screening|infant_young_child_feeding|ncd_diabetes|anaemia
da23d3fe-1cbe-43a9-a814-96c9ec2a1706,Dentotsav Dental Clinic,clinic,Kolkata,West Bengal,private,false,null,null,secondary,0,false,Kolkata,West Bengal,ncd_rising+child_health_nutrition_hotspot,child_malnutrition|child_immunization|cancer_screening|ncd_diabetes|ncd_diabetes
8da5f77a-9abb-41ac-adc1-4ea82b0e405b,"Inwhite Dental Clinic Jubilee Hills, Hyderabad",clinic,Hyderabad,Telangana,private,false,null,null,primary,0,false,Hyderabad,Telangana,child_health_nutrition_hotspot+ncd_rising,child_immunization|child_malnutrition|cancer_screening|infant_young_child_feeding|ncd_hypertension
4a620683-3cd9-45b0-b944-10fe595bd8a4,Sai Hospital,hospital,Dharmavaram,Andhra Pradesh,null,false,15,null,tertiary,1,true,null,null,null,
27392d55-8cac-48c9-bd9a-53cc23ee773f,Arimalam Vaidya Sala,doctor,Karaikudi,Tamil Nadu,private,false,null,1,primary,0,false,Sivaganga,Tamil Nadu,ncd_rising+child_health_nutrition_hotspot,child_malnutrition|cancer_screening|ncd_diabetes|ncd_diabetes|anaemia
863c92ec-8035-437c-963f-c03d47daeef8,Rudraksh Superspeciality Care,clinic,Siliguri,West Bengal,private,false,null,2,tertiary,2,true,Darjiling,West Bengal,ncd_rising+child_health_nutrition_hotspot,child_malnutrition|cancer_screening|ncd_hypertension|infant_young_child_feeding|ncd_hypertension
d14ca718-7f44-4ae0-8556-106ccaaac7f1,Reynolds Memorial Hospital and Affiliated Clinics,hospital,Washim,Maharashtra,trust_charitable,false,100,null,secondary,0,false,Washim,Maharashtra,child_health_nutrition_hotspot,child_immunization|child_malnutrition|cancer_screening|family_planning_unmet|infant_young_child_feeding
